Source data:
n_boxes: 6, m: 5, d: 4, nExp: 10000
# 4921, Balls: Black, Blue, Black, Red
# 4922, Balls: Blue, Red, White, Red
# 4923, Balls: White, Black, White, White
# 4924, Balls: Green, Black, Black, Black
# 4925, Balls: Blue, Black, Green, Red
# 4926, Balls: White, White, Black, Red
# 4927, Balls: Blue, Red, Blue, Red
# 4928, Balls: Black, Red, White, Blue
# 4929, Balls: Black, Blue, Green, Black
# 4930, Balls: Green, Blue, Red, Black
# 4931, Balls: Black, Red, Blue, Green
# 4932, Balls: Blue, Blue, Green, Blue
# 4933, Balls: Red, Black, Green, Black
# 4934, Balls: Black, Red, Black, Red
# 4935, Balls: White, Blue, Green, Blue
# 4936, Balls: Blue, Green, Blue, Black
# 4937, Balls: Blue, Blue, White, Black
# 4938, Balls: White, Black, Red, Red
# 4939, Balls: Red, Green, Green, Blue
# 4940, Balls: Red, Black, Black, Black
# 4941, Balls: White, Blue, Black, White
# 4942, Balls: White, Black, Black, White
# 4943, Balls: Green, Blue, White, Black
# 4944, Balls: Black, Red, White, White
# 4945, Balls: Red, Red, Blue, Green
# 4946, Balls: Red, Green, Black, White
# 4947, Balls: Blue, White, Green, Blue
# 4948, Balls: Green, Blue, Green, Black
# 4949, Balls: White, White, Blue, Red
# 4950, Balls: Green, Red, Black, Black
# 4951, Balls: Red, Blue, Red, Blue
# 4952, Balls: Red, Green, Black, Black
# 4953, Balls: Green, Green, Black, Black
# 4954, Balls: Black, Green, Black, Blue
# 4955, Balls: Blue, Blue, Black, Green
# 4956, Balls: Blue, Green, Green, Blue
# 4957, Balls: Green, Black, Green, Blue
# 4958, Balls: Red, Green, Red, Green
# 4959, Balls: White, Green, Blue, Blue
# 4960, Balls: Green, Black, Black, Red
# 4961, Balls: Green, Black, Red, Blue
# 4962, Balls: Blue, White, Blue, Blue
# 4963, Balls: Black, Green, Blue, Green
# 4964, Balls: White, Red, Black, Black
# 4965, Balls: White, Blue, Black, Black
# 4966, Balls: Blue, Green, Blue, Blue
# 4967, Balls: Black, Red, White, Black
# 4968, Balls: Green, White, White, Black
# 4969, Balls: Red, Blue, Red, Blue
# 4970, Balls: Black, Green, Green, Black
# 4971, Balls: White, White, Black, Blue
# 4972, Balls: Green, Red, Blue, Green
# 4973, Balls: Black, Black, White, Red
# 4974, Balls: Blue, Black, Green, White
# 4975, Balls: Blue, Red, Red, White
# 4976, Balls: Green, Red, Red, Black
# 4977, Balls: Blue, Green, Blue, Black
# 4978, Balls: Black, Green, Blue, Blue
# 4979, Balls: Blue, Red, Black, Blue
# 4980, Balls: White, White, Blue, White
# 4981, Balls: Black, Black, Blue, Red
# 4982, Balls: Black, Black, Red, White
# 4983, Balls: Green, Green, Blue, Black
# 4984, Balls: Red, Green, Black, Blue
# 4985, Balls: White, Red, Black, Blue
# 4986, Balls: Green, Black, Blue, White
# 4987, Balls: Blue, Black, Black, Blue
# 4988, Balls: Black, White, Blue, Blue
# 4989, Balls: White, Blue, Black, White
# 4990, Balls: Blue, Black, Red, Red
# 4991, Balls: Red, Green, Black, Red
# 4992, Balls: White, Green, White, Black
# 4993, Balls: Red, White, Blue, White
# 4994, Balls: Red, Green, Red, Black
# 4995, Balls: White, Black, Black, Green
# 4996, Balls: Red, Green, Blue, Blue
# 4997, Balls: Black, Red, White, Black
# 4998, Balls: Blue, Blue, Blue, White
# 4999, Balls: Red, Black, Red, Green
# 5000, Balls: Black, Red, Black, Black
# 5001, Balls: White, White, Black, Black
# 5002, Balls: White, Black, Green, Black
# 5003, Balls: Green, White, Blue, Green
# 5004, Balls: Black, White, Blue, White
# 5005, Balls: Blue, Green, Blue, Blue
# 5006, Balls: Black, Black, Green, Black
# 5007, Balls: Green, Green, White, Blue
# 5008, Balls: Black, Red, Blue, Green
# 5009, Balls: White, Blue, Black, Blue
# 5010, Balls: Black, Blue, Green, Black
# 5011, Balls: Blue, Blue, Blue, Black
# 5012, Balls: Green, White, Black, Red
# 5013, Balls: White, Blue, White, White
# 5014, Balls: Red, Black, Blue, Blue
# 5015, Balls: White, Blue, White, White
# 5016, Balls: White, Black, White, White
# 5017, Balls: Red, Black, Blue, Green
# 5018, Balls: Red, Green, Red, Black
# 5019, Balls: Blue, Blue, Black, Green
# 5020, Balls: Blue, Red, Green, Green
# 5021, Balls: Green, White, Black, Black
# 5022, Balls: White, White, Black, Green
# 5023, Balls: Green, Black, Green, Red
# 5024, Balls: Blue, White, Green, Black
# 5025, Balls: Black, White, Black, Red
# 5026, Balls: Black, Green, Green, Blue
# 5027, Balls: Green, Blue, Blue, Black
# 5028, Balls: Black, White, Blue, Black
# 5029, Balls: Blue, Black, Blue, Green
# 5030, Balls: Black, Red, White, Black
# 5031, Balls: Blue, Black, White, Blue
# 5032, Balls: Blue, Black, Blue, Green
# 5033, Balls: Blue, Black, White, Black
# 5034, Balls: White, Red, Blue, Green
# 5035, Balls: Red, Blue, Green, Blue
# 5036, Balls: Red, Black, Black, Black
# 5037, Balls: Green, Red, Red, Green
# 5038, Balls: Green, Green, Green, Blue
# 5039, Balls: Blue, Black, Blue, Green
# 5040, Balls: White, Blue, Black, Black
# 5041, Balls: Red, Black, Blue, Red
# 5042, Balls: White, Black, Red, Black
# 5043, Balls: White, Blue, Blue, Blue
# 5044, Balls: Red, Red, Blue, Black
# 5045, Balls: Black, Blue, White, Black
# 5046, Balls: White, Red, White, White
# 5047, Balls: Red, Red, Green, Black
# 5048, Balls: Green, Black, White, Black
# 5049, Balls: Blue, Red, Red, Blue
# 5050, Balls: Blue, Black, Black, Blue
# 5051, Balls: White, Green, Green, Blue
# 5052, Balls: Green, Blue, Black, Green
# 5053, Balls: Blue, White, Red, Blue
# 5054, Balls: Green, Green, Red, Black
# 5055, Balls: Black, White, White, Black
# 5056, Balls: Green, Black, Blue, Blue
# 5057, Balls: Black, Blue, Green, Black
# 5058, Balls: Blue, Red, Black, White
# 5059, Balls: Blue, Red, Green, Red
# 5060, Balls: Black, Black, Black, White
# 5061, Balls: Blue, Blue, White, Black
# 5062, Balls: Green, White, Red, Blue
# 5063, Balls: Black, Black, Black, Blue
# 5064, Balls: Green, Green, Blue, Black
# 5065, Balls: Blue, Red, Red, Black
# 5066, Balls: Green, Blue, Black, White
# 5067, Balls: White, Blue, Green, White
# 5068, Balls: White, Green, Blue, Blue
# 5069, Balls: Black, Black, Blue, Black
# 5070, Balls: White, White, Blue, Blue
# 5071, Balls: Black, Blue, Blue, Blue
# 5072, Balls: White, Green, Black, White
# 5073, Balls: Green, Green, White, Blue
# 5074, Balls: Black, Blue, Black, White
# 5075, Balls: Black, Green, Blue, Blue
# 5076, Balls: Blue, Blue, White, White
# 5077, Balls: White, Red, Red, Blue
# 5078, Balls: Black, Black, Black, Green
# 5079, Balls: Black, Green, White, Red
# 5080, Balls: Green, Black, Green, Blue
# 5081, Balls: Green, Blue, White, White
# 5082, Balls: Black, Red, Blue, White
# 5083, Balls: Black, Green, Green, White
# 5084, Balls: Green, Red, White, Green
# 5085, Balls: Green, Blue, Green, Black
# 5086, Balls: Blue, White, Black, Green
# 5087, Balls: Black, Black, Green, Black
# 5088, Balls: Green, White, Blue, Black
# 5089, Balls: Red, Blue, Black, Blue
# 5090, Balls: White, Green, Black, Red
# 5091, Balls: Green, White, White, Blue
# 5092, Balls: Green, Black, Green, Black
# 5093, Balls: Red, Black, Black, White
# 5094, Balls: Black, Black, Blue, White
# 5095, Balls: Blue, Blue, Blue, Red
# 5096, Balls: Black, Blue, Black, Black
# 5097, Balls: Red, White, Green, White
# 5098, Balls: Blue, Green, Black, Green
# 5099, Balls: Blue, Red, Black, Blue
# 5100, Balls: Blue, White, Green, White
# 5101, Balls: Blue, Green, Red, Red
# 5102, Balls: Red, Green, Blue, Red
# 5103, Balls: Black, Blue, White, White
# 5104, Balls: Red, Blue, Green, Green
# 5105, Balls: Green, Black, Black, Black
# 5106, Balls: Blue, Blue, Black, White
# 5107, Balls: Blue, Blue, Red, Blue
# 5108, Balls: Red, Black, Blue, Black
# 5109, Balls: White, White, Blue, Black
# 5110, Balls: Blue, Red, Green, White
# 5111, Balls: White, Blue, Green, Green
# 5112, Balls: Blue, Black, Green, Red
# 5113, Balls: Red, Red, Green, Green
# 5114, Balls: Black, Red, Red, White
# 5115, Balls: White, Blue, White, Green
# 5116, Balls: Black, Black, Green, Black
# 5117, Balls: Black, Green, Black, White
# 5118, Balls: White, Blue, Blue, Blue
# 5119, Balls: Red, Black, Blue, Red
# 5120, Balls: Green, Green, Blue, White
# 5121, Balls: White, Blue, Green, Green
# 5122, Balls: Blue, Green, Black, Green
# 5123, Balls: Green, White, Blue, Green
# 5124, Balls: White, White, Black, Blue
# 5125, Balls: Black, Black, Black, Blue
# 5126, Balls: Green, Black, Green, Black
# 5127, Balls: Green, Blue, Green, Black
# 5128, Balls: Green, Green, Blue, Blue
# 5129, Balls: Green, Blue, Black, Green
# 5130, Balls: Black, White, White, Blue
# 5131, Balls: Red, Blue, Blue, Green
# 5132, Balls: Blue, Red, Black, Black
# 5133, Balls: Black, White, Red, White
# 5134, Balls: Black, Green, Black, Black
# 5135, Balls: Blue, Blue, Blue, Blue
# 5136, Balls: White, Blue, Blue, Black
# 5137, Balls: Blue, Green, Blue, Green
# 5138, Balls: Black, Green, Blue, White
# 5139, Balls: Blue, Blue, White, Green
# 5140, Balls: Green, Black, Green, Black
# 5141, Balls: Black, White, Black, Green
# 5142, Balls: Blue, Red, Green, White
# 5143, Balls: Blue, Black, Blue, Black
# 5144, Balls: Blue, Blue, Blue, Green
# 5145, Balls: Black, Blue, Green, Blue
# 5146, Balls: Blue, Blue, Green, Blue
# 5147, Balls: Black, Black, Green, Blue
# 5148, Balls: Blue, Blue, White, White
# 5149, Balls: Red, White, Blue, Red
# 5150, Balls: Black, Red, Blue, Black
# 5151, Balls: Black, Blue, Blue, Blue
# 5152, Balls: Green, Blue, Black, Black
# 5153, Balls: Blue, White, Green, Black
# 5154, Balls: White, White, Blue, Blue
# 5155, Balls: Black, Blue, Green, Green
# 5156, Balls: Red, Black, Black, Green
# 5157, Balls: Blue, Black, White, Black
# 5158, Balls: Blue, White, Blue, Green
# 5159, Balls: Red, White, White, White
# 5160, Balls: Black, Blue, Green, White
# 5161, Balls: Red, Black, Black, Red
# 5162, Balls: Green, Green, Black, Green
# 5163, Balls: Blue, Green, Blue, Green
# 5164, Balls: Blue, Blue, Blue, Green
# 5165, Balls: Red, Red, Black, Black
# 5166, Balls: Black, Red, Green, Black
# 5167, Balls: Red, Black, Black, Blue
# 5168, Balls: Black, Black, Green, Black
# 5169, Balls: Black, Blue, White, Green
# 5170, Balls: Blue, Black, Green, Blue
# 5171, Balls: White, Green, Blue, White
# 5172, Balls: Green, Green, Black, White
# 5173, Balls: Blue, Blue, Red, Green
# 5174, Balls: Black, Green, Blue, Green
# 5175, Balls: Blue, Blue, Black, Red
# 5176, Balls: Black, Black, Black, Green
# 5177, Balls: Black, Black, Red, Red
# 5178, Balls: White, Black, Black, Green
# 5179, Balls: Red, Black, Black, Red
# 5180, Balls: Black, Blue, White, Red
# 5181, Balls: Black, Black, Green, Black
# 5182, Balls: Green, Blue, Blue, Black
# 5183, Balls: Blue, Green, Blue, Black
# 5184, Balls: Blue, Black, Blue, Blue
# 5185, Balls: Black, Green, Red, White
# 5186, Balls: Blue, Green, Blue, Green
# 5187, Balls: White, Blue, Black, White
# 5188, Balls: Blue, Black, Green, Blue
# 5189, Balls: Green, Black, Blue, White
# 5190, Balls: Blue, White, Blue, Blue
# 5191, Balls: Black, Black, Blue, Blue
# 5192, Balls: Red, Black, Black, Black
# 5193, Balls: Black, Blue, Black, Green
# 5194, Balls: Black, White, Black, Black
# 5195, Balls: Black, Blue, Black, White
# 5196, Balls: White, White, White, White
# 5197, Balls: Green, Red, Green, Red
# 5198, Balls: Black, Red, Green, Blue
# 5199, Balls: Green, Red, Black, Green
# 5200, Balls: Blue, Green, Green, Green
# 5201, Balls: White, Red, Blue, Black
# 5202, Balls: Blue, Black, Black, Black
# 5203, Balls: Red, Blue, Black, Red
# 5204, Balls: Green, Blue, Black, Black
# 5205, Balls: Red, Green, White, Green
# 5206, Balls: Blue, Green, Black, Black
# 5207, Balls: Green, Black, Black, White
# 5208, Balls: Black, White, Blue, White
# 5209, Balls: Green, Green, Black, Black
# 5210, Balls: Green, Green, Green, Black
# 5211, Balls: Black, Blue, Blue, Blue
# 5212, Balls: Green, Green, Black, Green
# 5213, Balls: Black, Black, Black, Blue
# 5214, Balls: Blue, White, Blue, Black
# 5215, Balls: Red, Red, Blue, Black
# 5216, Balls: White, White, Black, Red
# 5217, Balls: Blue, Green, White, Green
# 5218, Balls: Blue, Black, Green, Red
# 5219, Balls: Green, White, Blue, Blue
# 5220, Balls: Blue, Blue, White, Black
# 5221, Balls: Blue, Blue, Red, Red
# 5222, Balls: Green, White, Blue, Green
# 5223, Balls: Blue, White, Blue, Blue
# 5224, Balls: Blue, Blue, Blue, Green
# 5225, Balls: White, Black, White, Green
# 5226, Balls: Blue, White, Red, White
# 5227, Balls: Red, Black, Black, Green
# 5228, Balls: Green, Black, Black, Red
# 5229, Balls: Red, Green, Blue, White
# 5230, Balls: Blue, Black, Black, Black
# 5231, Balls: Red, Black, White, Blue
# 5232, Balls: Green, Green, White, Green
# 5233, Balls: Black, Black, White, Red
# 5234, Balls: Black, Green, Green, Black
# 5235, Balls: Blue, Green, Black, Red
# 5236, Balls: Green, Blue, Blue, Green
# 5237, Balls: Green, Black, Red, Black
# 5238, Balls: Red, Blue, White, Red
# 5239, Balls: Red, Green, Black, Black
# 5240, Balls: Black, Black, Red, Black
# 5241, Balls: White, Blue, Red, Green
# 5242, Balls: Blue, Blue, Green, Green
# 5243, Balls: Blue, Black, Black, White
# 5244, Balls: White, Black, White, Green
# 5245, Balls: Black, Black, Blue, Red
# 5246, Balls: Black, Green, Black, Green
# 5247, Balls: Blue, White, Black, Green
# 5248, Balls: Black, Black, Black, Green
# 5249, Balls: Red, Black, Black, Green
# 5250, Balls: White, White, Blue, Blue
# 5251, Balls: Red, Green, Green, Black
# 5252, Balls: White, Green, Black, Black
# 5253, Balls: Red, Green, Red, Blue
# 5254, Balls: Green, Red, Blue, Blue
# 5255, Balls: Red, Green, Red, Black
# 5256, Balls: White, Blue, Green, White
# 5257, Balls: Black, Red, Blue, Black
# 5258, Balls: Red, Black, Green, Blue
# 5259, Balls: Black, Green, Green, Black
# 5260, Balls: Blue, Black, Black, Black
# 5261, Balls: Black, Blue, Black, White
# 5262, Balls: Black, Red, White, White
# 5263, Balls: Blue, Blue, Red, Red
# 5264, Balls: White, Black, White, Green
# 5265, Balls: Black, White, Green, Green
# 5266, Balls: Black, Blue, Green, Black
# 5267, Balls: Green, Black, Black, Red
# 5268, Balls: Red, Blue, Blue, White
# 5269, Balls: White, Black, Green, Blue
# 5270, Balls: Black, Blue, Black, Black
# 5271, Balls: White, Red, Blue, White
# 5272, Balls: Green, Green, Black, Black
# 5273, Balls: Blue, Green, Blue, Green
# 5274, Balls: Green, Black, White, White
# 5275, Balls: Black, Blue, Blue, Red
# 5276, Balls: Red, Blue, Green, Black
# 5277, Balls: White, White, Blue, Black
# 5278, Balls: Blue, Green, Green, Green
# 5279, Balls: Blue, Black, Black, Green
# 5280, Balls: Blue, White, Blue, White
# 5281, Balls: Green, Red, Blue, Blue
# 5282, Balls: Red, Red, White, White
# 5283, Balls: White, White, Green, Black
# 5284, Balls: Blue, White, Green, Green
# 5285, Balls: Black, Green, Red, Black
# 5286, Balls: Blue, Black, Green, Black
# 5287, Balls: Black, Red, Red, Green
# 5288, Balls: Red, Green, Red, Black
# 5289, Balls: Green, Black, Green, Blue
# 5290, Balls: Green, Green, Black, Green
# 5291, Balls: Black, White, Red, Red
# 5292, Balls: White, White, White, White
# 5293, Balls: Blue, Green, Black, Blue
# 5294, Balls: White, Green, Green, White
# 5295, Balls: Blue, White, White, Blue
# 5296, Balls: Blue, Red, Black, Red
# 5297, Balls: Black, Red, Red, Green
# 5298, Balls: White, Black, Blue, Green
# 5299, Balls: White, Green, Green, Black
# 5300, Balls: Black, Black, Black, Green
# 5301, Balls: Blue, Blue, Green, White
# 5302, Balls: Black, Green, Blue, Blue
# 5303, Balls: Blue, White, Black, White
# 5304, Balls: Green, Black, Green, Blue
# 5305, Balls: Black, Red, Green, Red
# 5306, Balls: Red, White, Green, Black
# 5307, Balls: Green, White, Blue, Blue
# 5308, Balls: Blue, Blue, Blue, Black
# 5309, Balls: Green, Black, White, Green
# 5310, Balls: White, White, White, Blue
# 5311, Balls: Red, Black, Blue, Red
# 5312, Balls: Red, Blue, Black, Black
# 5313, Balls: Black, Black, Blue, Green
# 5314, Balls: Green, Black, Blue, Blue
# 5315, Balls: Blue, Blue, Black, White
# 5316, Balls: White, White, Green, Blue
# 5317, Balls: Black, Green, Blue, White
# 5318, Balls: Black, Red, Red, Blue
# 5319, Balls: White, Blue, White, Green
# 5320, Balls: White, Blue, Blue, Blue
# 5321, Balls: Black, Blue, Black, Green
# 5322, Balls: White, White, White, Blue
# 5323, Balls: Blue, Red, Black, Red
# 5324, Balls: Red, White, Black, Red
# 5325, Balls: Blue, White, Green, Blue
# 5326, Balls: Green, Green, Blue, Blue
# 5327, Balls: Black, Green, Green, Blue
# 5328, Balls: Red, Blue, Green, Red
# 5329, Balls: Red, Red, Black, Red
# 5330, Balls: Black, Black, Blue, Black
# 5331, Balls: Black, Black, Black, White
# 5332, Balls: Green, Green, Green, Black
# 5333, Balls: White, Blue, Blue, Red
# 5334, Balls: Green, White, White, White
# 5335, Balls: Blue, Blue, Blue, Blue
# 5336, Balls: Black, Blue, Red, Red
# 5337, Balls: Blue, Black, Blue, Green
# 5338, Balls: Green, Black, Green, Black
# 5339, Balls: Green, White, White, Green
# 5340, Balls: Black, Blue, White, Green
# 5341, Balls: Green, Red, Red, Black
# 5342, Balls: Black, White, Green, Black
# 5343, Balls: Blue, White, Green, Black
# 5344, Balls: Black, Green, Blue, Blue
# 5345, Balls: Black, Black, White, Black
# 5346, Balls: Red, White, Black, White
# 5347, Balls: Red, Green, Green, Green
# 5348, Balls: Black, Black, Black, Blue
# 5349, Balls: Black, Blue, Green, White
# 5350, Balls: Blue, Blue, Black, Blue
# 5351, Balls: Black, Green, Blue, Black
# 5352, Balls: Green, Blue, White, Red
# 5353, Balls: Black, Black, Black, Black
# 5354, Balls: Black, Black, Black, Blue
# 5355, Balls: White, White, White, Green
# 5356, Balls: Blue, Green, Black, Green
# 5357, Balls: Green, Red, Black, Blue
# 5358, Balls: Red, Blue, Blue, White
# 5359, Balls: Black, Black, Black, Green
# 5360, Balls: Green, White, Black, White
# 5361, Balls: Green, Blue, Black, Black
# 5362, Balls: Blue, Black, Green, Blue
# 5363, Balls: Black, Blue, White, Black
# 5364, Balls: White, Black, White, Black
# 5365, Balls: Red, Black, Black, Red
# 5366, Balls: Green, White, Red, White
# 5367, Balls: Red, White, White, Blue
# 5368, Balls: Green, Green, Blue, Black
# 5369, Balls: Black, Black, Black, Black
# 5370, Balls: Blue, Green, White, Blue
# 5371, Balls: Black, Black, Green, Red
# 5372, Balls: Green, Black, Black, Green
# 5373, Balls: White, Blue, Blue, Blue
# 5374, Balls: Black, Blue, Green, Green
# 5375, Balls: Green, Black, Black, White
# 5376, Balls: White, Blue, White, White
# 5377, Balls: Blue, Red, Blue, Red
# 5378, Balls: Black, Red, Black, Red
# 5379, Balls: White, Blue, Black, Black
# 5380, Balls: Black, Green, Black, Green
# 5381, Balls: Black, White, Red, Black
# 5382, Balls: Blue, Black, Blue, Green
# 5383, Balls: Green, Black, Blue, Red
# 5384, Balls: Black, Red, Green, Green
# 5385, Balls: Black, White, Green, White
# 5386, Balls: Green, Blue, Black, Black
# 5387, Balls: White, Green, White, Black
# 5388, Balls: White, Green, White, White
# 5389, Balls: Blue, Red, Red, Green
# 5390, Balls: Blue, Black, Red, Green
# 5391, Balls: White, Blue, Red, White
# 5392, Balls: Black, Green, White, Blue
# 5393, Balls: Black, White, Blue, Red
# 5394, Balls: Green, Blue, White, Blue
# 5395, Balls: Blue, Red, Black, Blue
# 5396, Balls: Green, Black, Red, Red
# 5397, Balls: Green, Blue, Blue, Blue
# 5398, Balls: Blue, Black, Green, Blue
# 5399, Balls: White, Green, Blue, White
# 5400, Balls: White, White, Blue, White
# 5401, Balls: Red, Green, Blue, Green
# 5402, Balls: Green, Black, Blue, Red
# 5403, Balls: White, Green, Blue, Green
# 5404, Balls: Green, Green, Red, Black
# 5405, Balls: Blue, Black, Green, Red
# 5406, Balls: Green, Black, Black, Red
# 5407, Balls: Green, Red, Red, Black
# 5408, Balls: Red, Black, Green, White
# 5409, Balls: Blue, White, Blue, Green
# 5410, Balls: Green, Red, Green, Black
# 5411, Balls: Green, Blue, Black, White
# 5412, Balls: Blue, Black, White, Black
# 5413, Balls: Red, Blue, Black, Blue
# 5414, Balls: Black, Red, Blue, Black
# 5415, Balls: Blue, Blue, Blue, Green
# 5416, Balls: Blue, Blue, Green, Green
# 5417, Balls: Black, Green, White, Black
# 5418, Balls: Blue, Green, Red, White
# 5419, Balls: Blue, Red, Blue, Red
# 5420, Balls: Black, Black, Green, Green
# 5421, Balls: Black, Blue, White, Black
# 5422, Balls: Green, Blue, Red, Blue
# 5423, Balls: Green, Black, White, Blue
# 5424, Balls: Black, White, White, Green
# 5425, Balls: Blue, Blue, Black, Red
# 5426, Balls: Green, Blue, Black, Black
# 5427, Balls: Black, Blue, Blue, Blue
# 5428, Balls: Blue, Blue, Blue, Blue
# 5429, Balls: Green, Black, Blue, Black
# 5430, Balls: White, Black, Black, Blue
# 5431, Balls: Black, Red, Black, Blue
# 5432, Balls: Black, Green, Red, Red
# 5433, Balls: White, Black, Blue, Blue
# 5434, Balls: Green, Black, Blue, Green
# 5435, Balls: White, White, White, Blue
# 5436, Balls: White, Red, White, White
# 5437, Balls: Red, Blue, Blue, White
# 5438, Balls: Blue, Red, Green, Green
# 5439, Balls: Black, Green, Blue, Blue
# 5440, Balls: Blue, Blue, Blue, Green
# 5441, Balls: White, Green, White, White
# 5442, Balls: White, Green, Green, White
# 5443, Balls: Red, Red, Blue, Red
# 5444, Balls: Green, Green, Green, Blue
# 5445, Balls: Blue, White, Blue, Green
# 5446, Balls: Green, Blue, Green, Black
# 5447, Balls: Black, Black, Red, White
# 5448, Balls: White, Blue, White, Blue
# 5449, Balls: Black, Black, Green, Blue
# 5450, Balls: Green, Black, Black, Black
# 5451, Balls: Green, Green, Green, White
# 5452, Balls: Black, Blue, Blue, Black
# 5453, Balls: Black, White, Blue, Blue
# 5454, Balls: Black, Red, Blue, Black
# 5455, Balls: Blue, Red, Black, Black
# 5456, Balls: Black, Red, White, Red
# 5457, Balls: White, Green, White, Blue
# 5458, Balls: Blue, Blue, Green, Green
# 5459, Balls: Blue, Red, Green, Green
# 5460, Balls: Black, White, Black, White
# 5461, Balls: Blue, Red, Red, Red
# 5462, Balls: Red, Red, Black, Red
# 5463, Balls: Black, Blue, Blue, Black
# 5464, Balls: Blue, Blue, Black, Blue
# 5465, Balls: Black, Black, Blue, Black
# 5466, Balls: Green, Green, Red, Blue
# 5467, Balls: White, Green, Black, Green
# 5468, Balls: Black, White, Black, Black
# 5469, Balls: Blue, Green, White, Blue
# 5470, Balls: Blue, Green, Blue, Green
# 5471, Balls: Blue, Blue, White, White
# 5472, Balls: Blue, Green, Black, White
# 5473, Balls: Black, Red, Blue, Blue
# 5474, Balls: White, Black, Black, Green
# 5475, Balls: Green, Red, Blue, Black
# 5476, Balls: Blue, Green, Black, Blue
# 5477, Balls: White, Black, White, Black
# 5478, Balls: Green, Black, Blue, Blue
# 5479, Balls: Black, Red, Black, Blue
# 5480, Balls: White, Blue, Red, Green
# 5481, Balls: Blue, Black, Black, Blue
# 5482, Balls: Blue, Blue, Blue, Blue
# 5483, Balls: Black, White, Blue, Blue
# 5484, Balls: Blue, Blue, White, Black
# 5485, Balls: Red, Black, Red, Green
# 5486, Balls: Green, Red, White, White
# 5487, Balls: Blue, White, Red, White
# 5488, Balls: White, Black, Black, Green
# 5489, Balls: Black, Blue, Blue, Red
# 5490, Balls: Green, Green, Black, Black
# 5491, Balls: Red, White, Red, Red
# 5492, Balls: Red, Blue, White, Green
# 5493, Balls: White, Blue, White, Green
# 5494, Balls: Green, Blue, Green, Black
# 5495, Balls: Blue, Blue, Red, Blue
# 5496, Balls: Red, Blue, Black, White
# 5497, Balls: Red, Green, Black, Red
# 5498, Balls: Red, Blue, Red, Black
# 5499, Balls: White, White, Green, Blue
# 5500, Balls: Green, Blue, Black, Black
# 5501, Balls: White, Blue, White, Blue
# 5502, Balls: White, Blue, White, Black
# 5503, Balls: Red, Black, Red, Red
# 5504, Balls: Black, White, Black, Blue
# 5505, Balls: White, Green, Blue, Green
# 5506, Balls: White, Black, Green, White
# 5507, Balls: White, White, Blue, Black
# 5508, Balls: Green, White, White, Black
# 5509, Balls: Red, White, White, Blue
# 5510, Balls: Green, Green, Green, Black
# 5511, Balls: Blue, Black, White, Red
# 5512, Balls: Blue, Black, Red, Blue
# 5513, Balls: White, Black, White, Black
# 5514, Balls: Black, Black, Red, Black
# 5515, Balls: Green, Red, Blue, Red
# 5516, Balls: White, White, Red, Black
# 5517, Balls: Blue, Green, Red, Red
# 5518, Balls: Blue, Green, Blue, Black
# 5519, Balls: Black, Black, Black, White
# 5520, Balls: Blue, Blue, White, White
# 5521, Balls: Green, Red, Blue, Red
# 5522, Balls: Green, Black, White, Black
# 5523, Balls: Red, Red, White, White
# 5524, Balls: Blue, Green, Blue, Green
# 5525, Balls: Black, Green, Black, Green
# 5526, Balls: Red, Black, White, Blue
# 5527, Balls: Red, Black, Green, Black
# 5528, Balls: Black, Black, Blue, Green
# 5529, Balls: Green, White, Blue, Blue
# 5530, Balls: Green, Black, Green, Blue
# 5531, Balls: Blue, Black, Green, White
# 5532, Balls: White, Blue, Black, Blue
# 5533, Balls: Black, Black, Black, Red
# 5534, Balls: Blue, Black, Black, Green
# 5535, Balls: Red, Red, Blue, Red
# 5536, Balls: Blue, Blue, Green, Green
# 5537, Balls: Black, Blue, Black, Black
# 5538, Balls: Black, White, White, Blue
# 5539, Balls: Red, Red, Blue, Black
# 5540, Balls: Red, Red, Green, White
# 5541, Balls: Red, Blue, Blue, Blue
# 5542, Balls: Black, Green, Green, Blue
# 5543, Balls: Black, Blue, Blue, Blue
# 5544, Balls: White, Blue, Black, Black
# 5545, Balls: Red, Red, Blue, Black
# 5546, Balls: Blue, Red, White, Black
# 5547, Balls: Black, Red, Green, Blue
# 5548, Balls: Blue, Black, Black, Black
# 5549, Balls: Black, Red, White, Black
# 5550, Balls: White, Blue, Blue, Blue
# 5551, Balls: Red, Black, Red, Green
# 5552, Balls: Black, Black, Red, Green
# 5553, Balls: Black, Green, Red, Green
# 5554, Balls: Blue, Black, White, Green
# 5555, Balls: White, White, Blue, White
# 5556, Balls: Red, Blue, Blue, Black
# 5557, Balls: White, Blue, Blue, Red
# 5558, Balls: White, Black, Black, Blue
# 5559, Balls: Blue, Red, Green, Blue
# 5560, Balls: Black, Green, Black, Blue
# 5561, Balls: White, Blue, White, Blue
# 5562, Balls: White, White, White, Black
# 5563, Balls: Blue, Blue, Black, Red
# 5564, Balls: White, Red, White, Green
# 5565, Balls: Black, Black, White, Blue
# 5566, Balls: Blue, Black, Blue, Blue
# 5567, Balls: Black, Blue, Black, Green
# 5568, Balls: White, White, Blue, Blue
# 5569, Balls: Black, Green, Blue, Blue
# 5570, Balls: Green, Black, Green, Green
# 5571, Balls: Blue, White, Green, Blue
# 5572, Balls: Green, Green, Blue, Black
# 5573, Balls: Black, Blue, Black, White
# 5574, Balls: Green, Blue, Blue, Blue
